"Filters","Filters"
"Improved Navigation Filters","Improved Navigation Filters"
"Please open Catalog > Manage Categories and set property ""Is Anchor"" to ""Yes"" for the store root category.","Please open Catalog > Manage Categories and set property ""Is Anchor"" to ""Yes"" for the store root category."
"In case you need to modify the module templates please copy files from app/design/frontend/base/default/template/amasty/amshopby/  to your custom theme  app/design/frontend/PACKAGE/THEME/template/amasty/amshopby/","In case you need to modify the module templates please copy files from app/design/frontend/base/default/template/amasty/amshopby/  to your custom theme  app/design/frontend/PACKAGE/THEME/template/amasty/amshopby/"
"There is a conflict(s) with some other extension: class %s. If the module works incorrect, consider our <a href=""http://amasty.com/installation-service.html"">Installation Service</a>.","There is a conflict(s) with some other extension: class %s. If the module works incorrect, consider our <a href=""http://amasty.com/installation-service.html"">Installation Service</a>."
"Migration issue detected; <a href=""'. $link .'"">click here</a> to fix. Please contact Amasty Support in case issue not fixed.","Migration issue detected; <a href=""'. $link .'"">click here</a> to fix. Please contact Amasty Support in case issue not fixed."
"Filter does not exist","Filter does not exist"
"Edit Filter","Edit Filter"
"Filter properties have been successfully saved","Filter properties have been successfully saved"
"Unable to find a filter to save","Unable to find a filter to save"
"Please select filter(s)","Please select filter(s)"
"Migrations","Migrations"
"Improved Navigation Migrations","Improved Navigation Migrations"
"Ranges","Ranges"
"Price Ranges","Price Ranges"
"Range does not exist","Range does not exist"
"Edit Range","Edit Range"
"Price range has been successfully saved","Price range has been successfully saved"
"Unable to find a range to save","Unable to find a range to save"
"Please select range(s)","Please select range(s)"
"Range has been deleted","Range has been deleted"
"New Grouped Option","New Grouped Option"
"Option does not exist","Option does not exist"
" Settings"," Settings"
"Unable to find an option to save","Unable to find an option to save"
"Option properties have been successfully saved","Option properties have been successfully saved"
"Something went wrong","Something went wrong"
"Option was successfully deleted","Option was successfully deleted"
"Page does not exist","Page does not exist"
"Page has been successfully saved","Page has been successfully saved"
"Unable to find a page to save","Unable to find a page to save"
"Please select page(s)","Please select page(s)"
"Page has been deleted","Page has been deleted"
"Add Range","Add Range"
"Number of Selections","Number of Selections"
"Page Title","Page Title"
"Meta Description","Meta Description"
"Duplicate","Duplicate"
"Edit Page `%s`","Edit Page `%s`"
"Edit Page","Edit Page"
"Page Setup","Page Setup"
"Number of Attribute Selections","Number of Attribute Selections"
"Meta Tags","Meta Tags"
"Add to Category Metas","Add to Category Metas"
"Meta Keywords","Meta Keywords"
"Canonical Url","Canonical Url"
"It's not the page URL. It's HTML tag as per https://support.google.com/webmasters/answer/139394","It's not the page URL. It's HTML tag as per https://support.google.com/webmasters/answer/139394"
"Please select a static block ...","Please select a static block ..."
"Page Text","Page Text"
"Title","Title"
"Top CMS block","Top CMS block"
"Bottom CMS block","Bottom CMS block"
"Page Categories","Page Categories"
"Store Views","Store Views"
"Custom Layout Update XML","Custom Layout Update XML"
